CampaignID,CampaignName,CampaignType,TargetIndustry,Budget,ExpectedLeads,ExpectedRevenue,StartDate,EndDate,Status
CMP0001,AI Facebook 2023,Email,Healthcare,204393,381,1839537,2022-08-17,2022-09-22,Planned
CMP0002,AI Facebook 2024,Google Ads,Retail,17811,195,249354,2024-05-14,2024-06-21,Completed
CMP0003,CRM Email 2025,Referral,Education,82926,928,995112,2024-07-08,2025-01-04,Completed
CMP0004,HRMS LinkedIn 2022,Trade Show,Education,36793,194,441516,2023-03-17,2023-07-11,Completed
CMP0005,ERP Webinar 2023,Trade Show,Retail,42722,487,384498,2024-07-29,2025-01-12,Completed
CMP0006,AI LinkedIn 2024,Referral,Manufacturing,30916,975,463740,2023-04-12,2023-07-25,Planned
CMP0007,AI Webinar 2025,LinkedIn,Finance,107040,463,1177440,2024-01-18,2024-03-29,Completed
CMP0008,AI Trade Show 2022,Google Ads,Retail,80765,755,646120,2024-08-04,2024-12-09,Active
CMP0009,Cyber Security Facebook 2023,SEO,Telecom,27350,316,410250,2024-04-01,2024-07-08,Completed
CMP0010,Analytics Referral 2024,Referral,Education,74651,862,821161,2023-06-27,2023-08-31,Completed
CMP0011,CRM LinkedIn 2025,Email,Finance,33831,873,473634,2024-11-09,2025-04-14,Planned
CMP0012,Data Platform Webinar 2022,Google Ads,Healthcare,110039,710,1320468,2022-05-11,2022-09-16,Planned
CMP0013,Cloud SEO 2023,Google Ads,Manufacturing,86939,545,869390,2023-11-28,2024-01-25,Planned
CMP0014,AI Email 2024,Trade Show,Finance,230638,754,1845104,2022-08-06,2022-11-20,Planned
CMP0015,Cyber Security Webinar 2025,Facebook,Software,15105,214,166155,2023-10-26,2024-03-29,Planned
CMP0016,ERP Email 2022,Email,Logistics,201865,597,2018650,2022-06-11,2022-08-01,Active
CMP0017,AI Webinar 2023,Referral,Education,65521,652,982815,2024-12-16,2025-05-03,Planned
CMP0018,ERP Trade Show 2024,Google Ads,Retail,74986,330,824846,2024-07-13,2024-09-11,Completed
CMP0019,CRM Trade Show 2025,LinkedIn,Retail,70015,169,840180,2022-05-26,2022-07-10,Planned
CMP0020,Data Platform Facebook 2022,SEO,Telecom,151356,235,1664916,2024-09-21,2024-12-14,Completed
CMP0021,HRMS SEO 2023,Google Ads,Healthcare,102876,533,823008,2022-07-18,2022-12-05,Active
CMP0022,AI SEO 2024,Email,Telecom,75183,296,751830,2023-11-26,2024-01-22,Active
CMP0023,Data Platform LinkedIn 2025,Google Ads,Software,239241,177,2153169,2024-08-05,2024-11-06,Completed
CMP0024,AI Referral 2022,Google Ads,Finance,137307,592,1922298,2022-12-07,2023-04-20,Completed
